authors,average_rating,book_id,description,e_book,goodreads_book_id,is_ebook,isbn,language_code,num_pages,original_publication_year,original_title,ratings_1,ratings_2,ratings_3,ratings_4,ratings_5,ratings_count,title
"Nora Roberts, Angela Dawe",4.13,3168.0,,False,6781956,,,eng,0,2010.0,,226.0,1374.0,8444.0,16044.0,17689.0,37877,"Savor the Moment (Bride Quartet, #3)"
Richard Connell,3.91,3169.0,,False,157076,,,,0,1924.0,,447.0,1806.0,8512.0,12901.0,10528.0,31944,The Most Dangerous Game
Cory Doctorow,3.94,3170.0,,False,954674,,,en-US,0,2008.0,,887.0,2295.0,8089.0,15532.0,12854.0,36779,Little Brother
Jeff Lindsay,3.84,3171.0,,False,136081,,,eng,0,2005.0,,397.0,2024.0,9817.0,14773.0,9145.0,31937,"Dearly Devoted Dexter (Dexter, #2)"
"Jalaluddin Rumi, Coleman Barks",4.44,3172.0,,False,304079,,,,0,1273.0,,203.0,473.0,2904.0,7988.0,16811.0,26575,The Essential Rumi
Lisa Genova,3.98,3173.0,,False,22716194,,,eng,0,2015.0,,318.0,1206.0,6518.0,14327.0,9208.0,27221,Inside the O'Briens
Steven Erikson,4.39,3174.0,,False,175983,,,eng,0,2001.0,,238.0,682.0,3401.0,10531.0,18439.0,29796,"Memories of Ice (The Malazan Book of the Fallen, #3)"
Dean Koontz,3.92,3175.0,,False,2029927,,,eng,0,2008.0,,422.0,2088.0,9027.0,13099.0,11726.0,32880,"Odd Hours (Odd Thomas, #4)"
Rachel Caine,4.06,3176.0,,False,261122,,,eng,0,2007.0,,736.0,2273.0,10253.0,16301.0,19936.0,46247,"The Dead Girls' Dance (The Morganville Vampires, #2)"
Tamora Pierce,4.32,3177.0,,False,13834,,,en-US,0,1996.0,,233.0,1026.0,6329.0,13418.0,23098.0,41233,"The Realms of the Gods (Immortals, #4)"
William R. Forstchen,3.92,3178.0,,False,4922079,,,eng,0,2009.0,,1028.0,2275.0,6653.0,12025.0,11744.0,26331,"One Second After (After, #1)"
Suzanne Collins,4.2,3179.0,,False,385706,,,eng,0,2005.0,,375.0,813.0,5632.0,12527.0,15154.0,31854,"Gregor and the Curse of the Warmbloods (Underland Chronicles, #3)"
David Levithan,3.89,3180.0,,False,9279177,,,en-US,0,2011.0,,676.0,2473.0,9299.0,14184.0,12020.0,34771,The Lover's Dictionary
"Helen Gardner, Fred S. Kleiner, Christin J. Mamiya",3.84,3181.0,,False,32525,,,eng,0,1926.0,,1805.0,1934.0,5154.0,7003.0,10285.0,23738,Art Through the Ages 
Terry Brooks,3.97,3182.0,,False,15567,,,eng,0,1985.0,,437.0,1876.0,9188.0,14699.0,12953.0,36303,"The Wishsong of Shannara (The Original Shannara Trilogy, #3)"
Gena Showalter,4.26,3183.0,,False,2498983,,,eng,0,2008.0,,392.0,1360.0,6628.0,14616.0,22473.0,43594,The Darkest Kiss (Lords of the Underworld #2)
Sarah Addison Allen,3.98,3184.0,,False,2200877,,,en-US,0,2008.0,,353.0,1861.0,9554.0,16723.0,13632.0,37734,The Sugar Queen
Jennifer L. Armentrout,4.34,3185.0,,False,9761771,,,eng,0,2012.0,,456.0,1114.0,5539.0,15220.0,25172.0,44665,"Pure (Covenant, #2)"
Chimamanda Ngozi Adichie,4.11,3186.0,,False,126381,,,,0,2003.0,,226.0,869.0,5742.0,15295.0,12090.0,29416,Purple Hibiscus
Miranda July,3.81,3187.0,,False,113429,,,,0,2005.0,,790.0,2209.0,6564.0,10116.0,8138.0,24717,No One Belongs Here More Than You
Kevin Hearne,4.22,3188.0,,False,9595620,,,eng,0,2011.0,,169.0,921.0,5796.0,14889.0,16348.0,33950,"Hammered (The Iron Druid Chronicles, #3)"
Kresley Cole,4.3,3189.0,,False,14383,,,en-CA,0,2006.0,,243.0,1065.0,6113.0,14784.0,22639.0,42026,No Rest for the Wicked (Immortals After Dark #3)
Vince Flynn,4.32,3190.0,,False,3313418,,,eng,0,2008.0,,326.0,666.0,4119.0,12351.0,17619.0,32211,"Extreme Measures (Mitch Rapp, #11)"
"Brian K. Vaughan, Fiona Staples",4.47,3191.0,,False,23093367,,,eng,0,2014.0,,166.0,368.0,2986.0,12932.0,22511.0,38069,"Saga, Vol. 4 (Saga, #4)"
Jamie McGuire,4.08,3192.0,,False,18528454,,,eng,0,2013.0,,752.0,2472.0,9202.0,14978.0,20071.0,41359,"A Beautiful Wedding (Beautiful, #2.5)"
Carl Hiaasen,3.66,3193.0,,False,16071701,,,eng,0,2013.0,,826.0,2245.0,9739.0,12824.0,6006.0,27437,Bad Monkey
Curtis Sittenfeld,3.35,3194.0,,False,16099180,,,en-US,0,2013.0,,1069.0,4476.0,12533.0,10707.0,3590.0,29553,Sisterland
Nick Hornby,3.48,3195.0,,False,6224826,,,en-US,0,2009.0,,658.0,3504.0,13277.0,13021.0,4207.0,30200,"Juliet, Naked"
"Jack Canfield, Mark Victor Hansen",3.94,3196.0,,False,801178,,,eng,0,1993.0,,818.0,1850.0,6916.0,9273.0,11284.0,28664,Chicken Soup for the Soul
Alexander McCall Smith,3.95,3197.0,,False,7039,,,en-GB,0,2000.0,,157.0,1059.0,9863.0,18670.0,10567.0,35205,"Tears of the Giraffe (No. 1 Ladies' Detective Agency, #2)"
Michael Connelly,4.12,3198.0,,False,49350,,,eng,0,1994.0,,100.0,578.0,6491.0,17061.0,12234.0,30286,"The Concrete Blonde (Harry Bosch, #3; Harry Bosch Universe, #3)"
C.J. Roberts,4.32,3199.0,,False,13612739,,,en-GB,0,2012.0,,951.0,1552.0,5249.0,12538.0,26056.0,45712,"Seduced in the Dark (The Dark Duet, #2)"
Terry Pratchett,4.12,3200.0,,False,34541,,,eng,0,1998.0,,121.0,1021.0,8200.0,16617.0,15675.0,35605,Carpe Jugulum (Discworld #23; Witches #6)
Kresley Cole,4.09,3201.0,,False,6388558,,,eng,0,2006.0,,1131.0,2249.0,7998.0,13831.0,20085.0,42767,The Warlord Wants Forever (Immortals After Dark #1)
Kurt Vonnegut Jr.,4.02,3202.0,,False,9601,,,en-US,0,1987.0,,140.0,881.0,6495.0,12029.0,9219.0,27011,Bluebeard
"Brian Froud, Terry Windling",3.88,3203.0,,False,120253,,,en-US,0,1998.0,,2110.0,2692.0,7128.0,8702.0,14583.0,35068,Good Faeries/Bad Faeries
Elin Hilderbrand,3.88,3204.0,,False,7726892,,,,0,2010.0,,337.0,1340.0,8456.0,13498.0,8346.0,29029,The Island
"Stephen King, Bernie Wrightson",3.62,3205.0,,False,550844,,,eng,0,1983.0,,687.0,3635.0,12773.0,11097.0,8208.0,30993,Cycle of the Werewolf
Jane Yolen,4.04,3206.0,,False,91357,,,eng,0,1988.0,,881.0,1713.0,8038.0,14526.0,15942.0,39419,The Devil's Arithmetic
Alan Weisman,3.79,3207.0,,False,248787,,,eng,0,2007.0,,745.0,2202.0,7770.0,11829.0,8045.0,28549,The World Without Us
Erik Larson,4.05,3208.0,,False,239186,,,en-US,0,1999.0,,311.0,1140.0,6639.0,13795.0,11457.0,29695,"Isaac's Storm: A Man, a Time, and the Deadliest Hurricane in History"
Elin Hilderbrand,3.69,3209.0,,False,23341607,,,eng,0,2015.0,,478.0,1885.0,9678.0,12035.0,5611.0,22876,The Rumor
Virginia Woolf,3.86,3210.0,,False,18839,,,en-GB,0,1928.0,,1050.0,2917.0,9208.0,13521.0,12590.0,32846,Orlando
Cecelia Ahern,3.69,3211.0,,False,2410506,,,eng,0,2008.0,,976.0,3153.0,10241.0,11747.0,8734.0,31617,Thanks for the Memories
"Anne Brontë, Angeline Goreau",3.65,3212.0,,False,298230,,,,0,1847.0,,849.0,3268.0,12639.0,13615.0,8182.0,33926,Agnes Grey
Nora Roberts,3.98,3213.0,,False,26050,,,en-US,0,2006.0,,285.0,1556.0,9030.0,13673.0,12167.0,34484,Angels Fall
Vince Flynn,4.35,3214.0,,False,6339304,,,en-US,0,2009.0,,168.0,451.0,3332.0,10793.0,15051.0,27137,"Pursuit of Honor (Mitch Rapp, #12)"
Sherrilyn Kenyon,4.59,3215.0,,False,2299110,,,en-US,0,2008.0,,441.0,840.0,3238.0,8823.0,34394.0,44623,Acheron (Dark-Hunter #14)
Pat Conroy,3.78,3216.0,,False,6135237,,,eng,0,2009.0,,1155.0,2740.0,8310.0,12594.0,9627.0,31640,South of Broad
Ami McKay,3.99,3217.0,,False,171102,,,,0,2006.0,,290.0,1234.0,6898.0,14338.0,9813.0,29721,The Birth House
Lisa McMann,3.95,3218.0,,False,3657138,,,eng,0,2009.0,,783.0,2782.0,10371.0,14608.0,15943.0,42540,"Fade (Wake, #2)"
Donna Tartt,3.43,3219.0,,False,775346,,,eng,0,2002.0,,1732.0,4727.0,10584.0,10673.0,6083.0,28978,The Little Friend
Rick Riordan,4.58,3220.0,,False,3165162,,,eng,0,2008.0,,286.0,418.0,2411.0,6699.0,23217.0,32496,"Percy Jackson and the Olympians (Percy Jackson and the Olympians, #1-3)"
Ingrid Law,3.96,3221.0,,False,2133795,,,en-US,0,2008.0,,742.0,2129.0,8420.0,13711.0,13547.0,37593,"Savvy (Savvy, #1)"
Bill Simmons,4.16,3222.0,,False,4452257,,,en-US,0,2009.0,,735.0,1012.0,3838.0,7481.0,12030.0,24245,The Book of Basketball: The NBA According to The Sports Guy
James Patterson,3.92,3223.0,,False,13151,,,en-US,0,2004.0,,368.0,1689.0,8800.0,13401.0,10585.0,32455,"London Bridges (Alex Cross, #10)"
عائض القرني,4.15,3224.0,,False,2750180,,,ara,0,2003.0,,935.0,1258.0,3573.0,6519.0,12672.0,18825,لا تحزن
"A.P.J. Abdul Kalam, Arun Tiwari",4.19,3225.0,,False,634583,,,en-US,0,1999.0,,258.0,785.0,4068.0,10002.0,11562.0,24450,Wings of Fire: An Autobiography
"L.J. Smith, Kevin Williamson, Julie Plec",4.22,3226.0,,False,11401915,,,,0,2011.0,,890.0,1389.0,4250.0,5400.0,15866.0,27432,"The Ripper (The Vampire Diaries: Stefan's Diaries, #4)"
Nate Silver,3.96,3227.0,,False,13588394,,,eng,0,2012.0,,417.0,1355.0,6365.0,13246.0,9230.0,26888,The Signal and the Noise: Why So Many Predictions Fail - But Some Don't
Ruta Sepetys,4.36,3228.0,,False,25614492,,,eng,0,2016.0,,300.0,749.0,4368.0,16513.0,23254.0,39406,Salt to the Sea
Agatha Christie,3.85,3229.0,,False,16319,,,eng,0,1942.0,,316.0,1921.0,12547.0,16998.0,10796.0,36188,"The Body in the Library (Miss Marple, #3)"
Gary Russell,4.59,3230.0,,False,119,,,en-US,0,2002.0,,211.0,220.0,1751.0,5011.0,17219.0,24340,The Lord of the Rings: The Art of The Fellowship of the Ring
Olivia Cunning,4.05,3231.0,,False,8379374,,,eng,0,2010.0,,1603.0,2763.0,8903.0,17634.0,21776.0,50044,"Backstage Pass (Sinners on Tour, #1)"
"Marjorie Flack, Kurt Wiese",4.15,3232.0,,False,189182,,,en-US,0,1933.0,,537.0,1424.0,6993.0,10851.0,16935.0,36193,The Story About Ping
Rachel Renée Russell,4.28,3233.0,,False,8274537,,,,0,2010.0,,625.0,1236.0,4110.0,6470.0,16658.0,26210,"Tales from a Not-So-Popular Party Girl (Dork Diaries, #2)"
"Laura Ingalls Wilder, Garth Williams",4.05,3234.0,,False,8252,,,,0,1933.0,,569.0,1980.0,10002.0,15023.0,17715.0,39863,"Farmer Boy (Little House, #3)"
Simon Sinek,4.07,3235.0,,False,7108725,,,,0,2009.0,,881.0,1839.0,6334.0,12067.0,15345.0,32899,Start with Why: How Great Leaders Inspire Everyone to Take Action
Fannie Flagg,3.97,3236.0,,False,17345258,,,eng,0,2013.0,,497.0,1306.0,6927.0,14195.0,9991.0,26878,The All-Girl Filling Station's Last Reunion
Dorothy Allison,4.09,3237.0,,False,25354,,,eng,0,1992.0,,434.0,1236.0,5699.0,12861.0,12319.0,27358,Bastard Out of Carolina
Libba Bray,3.6,3238.0,,False,9464733,,,eng,0,2011.0,,2969.0,4636.0,9960.0,12565.0,11539.0,39455,Beauty Queens
Daniel Suarez,4.17,3239.0,,False,4699575,,,en-US,0,2006.0,,485.0,1268.0,4318.0,10720.0,13407.0,18104,"Daemon (Daemon, #1)"
Scott Turow,4.05,3240.0,,False,4035,,,eng,0,1990.0,,199.0,813.0,6351.0,12394.0,10063.0,29103,The Burden of Proof
Leigh Bardugo,4.62,3241.0,,False,22299763,,,eng,0,2016.0,,158.0,392.0,2732.0,13092.0,37786.0,44289,"Crooked Kingdom (Six of Crows, #2)"
Joy Adamson,4.17,3242.0,,False,758153,,,,0,1960.0,,366.0,812.0,5365.0,9892.0,12950.0,28820,"Born Free: A Lioness of Two Worlds (Story of Elsa, #1)"
"Alfred Bester, Neil Gaiman",4.13,3243.0,,False,333867,,,en-US,0,1955.0,,439.0,1419.0,5658.0,11411.0,14041.0,29055,The Stars My Destination
Tamora Pierce,4.27,3244.0,,False,24431,,,eng,0,2004.0,,417.0,1345.0,6805.0,14926.0,23350.0,42252,"Trickster's Choice (Daughter of the Lioness, #1)"
Rosamund Hodge,3.74,3245.0,,False,15839984,,,eng,0,2014.0,,1590.0,4430.0,12549.0,17361.0,13424.0,45721,"Cruel Beauty (Cruel Beauty Universe, #1)"
Dan Simmons,4.16,3246.0,,False,11289,,,eng,0,1997.0,,402.0,1364.0,5345.0,11259.0,14540.0,30135,"The Rise of Endymion (Hyperion Cantos, #4)"
Dan Simmons,4.14,3247.0,,False,3977,,,eng,0,1996.0,,273.0,1201.0,5556.0,12997.0,13545.0,30664,"Endymion (Hyperion Cantos, #3)"
Shaun Tan,4.33,3248.0,,False,920607,,,eng,0,2006.0,,678.0,1186.0,4142.0,9897.0,20497.0,33764,The Arrival
Brandon Sanderson,4.2,3249.0,,False,15704486,,,eng,0,2016.0,,93.0,680.0,5383.0,14098.0,13655.0,27146,"Calamity (The Reckoners, #3)"
Steve Martin,3.42,3250.0,,False,10873,,,en-US,0,2000.0,,1096.0,4324.0,11512.0,10723.0,4701.0,28063,Shopgirl
مصطفى محمود,3.95,3251.0,,False,5664022,,,ara,0,1974.0,,1459.0,1734.0,4277.0,7941.0,10839.0,23898,حوار مع صديقي الملحد
Mark Twain,4.07,3252.0,,False,24580,,,en-US,0,1876.0,,527.0,1430.0,6451.0,11744.0,13137.0,30228,The Adventures of Tom Sawyer & Adventures of Huckleberry Finn
Claire Messud,3.31,3253.0,,False,15701217,,,eng,0,2013.0,,2075.0,4281.0,8683.0,7697.0,4615.0,25135,The Woman Upstairs
Christopher Moore,3.82,3254.0,,False,74731,,,en-US,0,2004.0,,785.0,2421.0,9087.0,12713.0,9993.0,32000,"The Stupidest Angel: A Heartwarming Tale of Christmas Terror (Pine Cove, #3)"
F. Scott Fitzgerald,3.75,3255.0,,False,4708,,,,0,1922.0,,632.0,2522.0,9543.0,12851.0,8144.0,26597,The Beautiful and Damned
"Augustine of Hippo, Henry Chadwick, Albert Cook Outler",3.88,3256.0,,False,27037,,,,0,397.0,,1163.0,2513.0,7408.0,10523.0,12029.0,25674,Confessions
Kent Haruf,3.96,3257.0,,False,23602562,,,,0,2015.0,,488.0,1746.0,6807.0,14388.0,10402.0,26249,Our Souls at Night
Nora Roberts,4.02,3258.0,,False,116012,,,eng,0,2000.0,,276.0,1338.0,8343.0,12574.0,12649.0,33719,Carolina Moon
Cathy Marie Buchanan,3.61,3259.0,,False,16138688,,,eng,0,2012.0,,1332.0,2612.0,8420.0,10799.0,6141.0,26798,The Painted Girls
Chanda Hahn,3.89,3260.0,,False,13402447,,,eng,0,2011.0,,976.0,2591.0,8277.0,11482.0,12390.0,35287,"UnEnchanted (An Unfortunate Fairy Tale, #1)"
Sarah Silverman,3.52,3261.0,,False,7897478,,,eng,0,2010.0,,1207.0,3272.0,10126.0,9864.0,5707.0,27706,"The Bedwetter: Stories of Courage, Redemption, and Pee"
Patricia Highsmith,3.93,3262.0,,False,2247142,,,eng,0,1955.0,,540.0,1821.0,8374.0,15903.0,10867.0,16536,"The Talented Mr. Ripley (Ripley, #1)"
Simone Elkeles,4.12,3263.0,,False,8662836,,,eng,0,2011.0,,1015.0,2419.0,8872.0,14647.0,22720.0,47773,"Chain Reaction (Perfect Chemistry, #3)"
James Clavell,4.23,3264.0,,False,390711,,,en-US,0,1981.0,,157.0,699.0,5099.0,11538.0,14258.0,30367,"Noble House (Asian Saga, #5)"
Christine Feehan,4.01,3265.0,,False,28866,,,eng,0,1999.0,,1831.0,2802.0,7349.0,11509.0,18943.0,38879,"Dark Prince (Dark, #1)"
Masashi Kishimoto,4.57,3266.0,,False,4634266,,,jpn,0,2008.0,,259.0,480.0,2170.0,4863.0,19199.0,26364,NARUTO -ナルト- 巻ノ四十三
Lauren Beukes,3.49,3267.0,,False,16131077,,,eng,0,2013.0,,1503.0,3688.0,10301.0,11216.0,5652.0,28006,The Shining Girls
Diane Ackerman,3.44,3268.0,,False,1128178,,,eng,0,2007.0,,1922.0,5882.0,15489.0,15445.0,7267.0,20056,The Zookeeper's Wife
David Mitchell,3.82,3269.0,,False,24499258,,,eng,0,2015.0,,544.0,1624.0,7871.0,14209.0,7162.0,24898,Slade House
Chris Hadfield,4.14,3270.0,,False,18170143,,,eng,0,2013.0,,627.0,1025.0,4534.0,10905.0,12584.0,25474,An Astronaut's Guide to Life on Earth
Melissa Marr,3.68,3271.0,,False,2321296,,,eng,0,2008.0,,1521.0,5439.0,14688.0,15408.0,13860.0,48264,"Ink Exchange (Wicked Lovely, #2)"
"أحلام مستغانمي, Ahlam Mosteghanemi",3.73,3272.0,,False,6621287,,,ara,0,2009.0,,1742.0,2648.0,5440.0,6147.0,9146.0,24884,com نسيان
John Grisham,3.46,3273.0,,False,5347,,,eng,0,2003.0,,1205.0,4038.0,10776.0,9245.0,5713.0,27719,Bleachers
Dr. Seuss,3.95,3274.0,,False,206962,,,eng,0,1963.0,,689.0,2570.0,10318.0,10812.0,15680.0,37324,Hop On Pop
"J.K. Rowling, Mary GrandPré",4.77,3275.0,,False,8,,,eng,0,2003.0,,317.0,233.0,978.0,3686.0,28210.0,33220,"Harry Potter Boxed Set, Books 1-5 (Harry Potter, #1-5)"
Anthony Horowitz,4.06,3276.0,,False,103983,,,en-US,0,2002.0,,306.0,1505.0,8546.0,14053.0,14920.0,37232,"Skeleton Key (Alex Rider, #3)"
Harlan Coben,4.1,3277.0,,False,43930,,,eng,0,2002.0,,197.0,847.0,6057.0,14641.0,11740.0,29777,Gone for Good
Robin Hobb,4.21,3278.0,,False,45101,,,en-GB,0,1999.0,,192.0,905.0,5289.0,13528.0,15004.0,30724,"The Mad Ship (Liveship Traders, #2)"
"Joanna Cole, Bruce Degen",4.26,3279.0,,False,722864,,,eng,0,1989.0,,418.0,1114.0,5147.0,7577.0,16676.0,30884,"Inside the Human Body (The Magic School Bus, #3)"
Michael Connelly,4.15,3280.0,,False,126507,,,eng,0,2003.0,,107.0,503.0,5871.0,15465.0,12530.0,29745,"Lost Light (Harry Bosch, #9; Harry Bosch Universe, #11)"
"Holly Black, Cassandra Clare",3.95,3281.0,,False,20578940,,,eng,0,2014.0,,1463.0,2108.0,8229.0,14840.0,14633.0,33510,"The Iron Trial (Magisterium, #1)"
"Daniel Abraham, George R.R. Martin, Tommy Patterson",4.48,3282.0,,False,12962439,,,eng,0,2011.0,,244.0,484.0,2292.0,7087.0,16844.0,25533,"A Game of Thrones: The Graphic Novel, Vol. 1"
Candace Bushnell,3.57,3283.0,,False,7091370,,,en-US,0,2010.0,,1282.0,3848.0,10460.0,9939.0,7631.0,30468,"The Carrie Diaries (The Carrie Diaries, #1)"
Bret Lott,3.64,3284.0,,False,5181,,,,0,1991.0,,763.0,2803.0,10719.0,11586.0,6860.0,31851,Jewel
Veronica Roth,3.98,3285.0,,False,17860199,,,eng,0,2013.0,,1090.0,2274.0,5478.0,6803.0,12686.0,25327,"The World of Divergent: The Path to Allegiant (Divergent, #2.5)"
"Tim LaHaye, Jerry B. Jenkins",3.94,3286.0,,False,228258,,,eng,0,1996.0,,906.0,2002.0,6948.0,10569.0,11770.0,30592,"Tribulation Force (Left Behind, #2)"
Michael Pollan,3.99,3287.0,,False,7015635,,,en-US,0,2008.0,,349.0,1485.0,7565.0,12460.0,11292.0,30577,Food Rules: An Eater's Manual
خولة حمدي,4.04,3288.0,,False,20316309,,,ara,0,2012.0,,1267.0,1873.0,4402.0,8354.0,13145.0,22912,في قلبي أنثى عبرية
Ellen Schreiber,3.69,3289.0,,False,263147,,,en-US,0,2003.0,,2613.0,5117.0,11246.0,10281.0,15341.0,43323,"Vampire Kisses (Vampire Kisses, #1)"
Kristin Hannah,3.94,3290.0,,False,16044981,,,eng,0,2013.0,,391.0,1656.0,7474.0,12371.0,10067.0,27109,"Fly Away (Firefly Lane, #2)"
Tad Williams,4.09,3291.0,,False,28689,,,en-US,0,1990.0,,384.0,1377.0,6449.0,13369.0,13465.0,32709,"Stone of Farewell (Memory, Sorrow, and Thorn, #2)"
"Adrian Conan Doyle, John Dickson Carr",4.4,3292.0,,False,76104,,,eng,0,1954.0,,225.0,448.0,2965.0,7561.0,15171.0,26232,The Exploits of Sherlock Holmes
Anna Quindlen,4.01,3293.0,,False,176839,,,,0,1994.0,,214.0,965.0,7197.0,13926.0,10152.0,30831,One True Thing
"Elena Ferrante, Ann Goldstein",4.29,3294.0,,False,23156040,,,eng,0,2013.0,,168.0,562.0,4024.0,13395.0,15511.0,24967,Those Who Leave and Those Who Stay (The Neapolitan Novels #3)
Trudi Canavan,4.07,3295.0,,False,28250,,,eng,0,2002.0,,271.0,1324.0,7454.0,15682.0,13533.0,32944,"The Novice (Black Magician Trilogy, #2)"
Joshua Ferris,3.45,3296.0,,False,97782,,,eng,0,2007.0,,1309.0,3631.0,8810.0,9886.0,4561.0,23614,Then We Came to the End
Monica  Murphy,3.94,3297.0,,False,17202452,,,eng,0,2013.0,,1017.0,2697.0,10157.0,18429.0,15899.0,44678,"One Week Girlfriend (One Week Girlfriend, #1)"
Robin Hobb,4.21,3298.0,,False,45102,,,en-US,0,2000.0,,431.0,1125.0,5651.0,13899.0,17063.0,34271,"Ship of Destiny (Liveship Traders, #3)"
Maeve Binchy,3.79,3299.0,,False,15990489,,,en-GB,0,2012.0,,405.0,1850.0,9334.0,13675.0,7269.0,25371,A Week in Winter
John Grisham,3.8,3300.0,,False,13154952,,,,0,2012.0,,620.0,1971.0,8531.0,12698.0,7865.0,27244,Calico Joe
"Hisaya Nakajo, David Ury",4.16,3301.0,,False,282356,,,en-US,0,1997.0,,924.0,1480.0,4968.0,7426.0,15710.0,30403,"Hana-Kimi, Vol. 1 (Hana-Kimi, #1)"
Juliet Marillier,4.28,3302.0,,False,13928,,,eng,0,1999.0,,703.0,1287.0,5510.0,13357.0,22385.0,39792,"Daughter of the Forest  (Sevenwaters, #1)"
Eric Carle,4.19,3303.0,,False,556511,,,en-US,0,1984.0,,345.0,1027.0,6083.0,9146.0,15401.0,31537,The Very Busy Spider
Judy Blume,3.82,3304.0,,False,37738,,,eng,0,1978.0,,672.0,2412.0,10944.0,11224.0,11111.0,34579,Freckle Juice
Seth Godin,3.87,3305.0,,False,7155145,,,en-US,0,2010.0,,1014.0,1960.0,6021.0,9680.0,9446.0,26555,Linchpin: Are You Indispensable?
Rudyard Kipling,4.09,3306.0,,False,34053,,,,0,1902.0,,431.0,1511.0,7688.0,13308.0,15654.0,35708,Just So Stories
Candice Millard,4.16,3307.0,,False,78508,,,en-US,0,2005.0,,515.0,1018.0,5011.0,12750.0,13820.0,30894,The River of Doubt: Theodore Roosevelt's Darkest Journey
"Atul Gawande, Susanne Kuhlmann-Krieg",4.23,3308.0,,False,4477,,,en-US,0,2002.0,,168.0,579.0,3800.0,11337.0,12017.0,26267,Complications: A Surgeon's Notes on an Imperfect Science
Jim Butcher,4.23,3309.0,,False,7779059,,,eng,0,2010.0,,69.0,515.0,5726.0,15346.0,15673.0,33738,"Side Jobs: Stories from the Dresden Files (The Dresden Files, #12.5)"
"Roland Barthes, Richard Howard",3.92,3310.0,,False,497164,,,,0,1980.0,,1191.0,2000.0,5810.0,8269.0,11206.0,26754,Camera Lucida: Reflections on Photography
Amy Tan,3.98,3311.0,,False,690866,,,en-US,0,1995.0,,269.0,1232.0,8092.0,14830.0,10511.0,32002,The Hundred Secret Senses
Mary Kubica,3.75,3312.0,,False,23638955,,,eng,0,2015.0,,524.0,1962.0,8622.0,13039.0,6485.0,24685,Pretty Baby
Andrew Davidson,3.96,3313.0,,False,2595138,,,eng,0,2008.0,,1096.0,2464.0,7113.0,12851.0,13922.0,32699,The Gargoyle
Neal Stephenson,3.92,3314.0,,False,823,,,en-US,0,2003.0,,997.0,2281.0,5852.0,10667.0,10892.0,27675,"Quicksilver (The Baroque Cycle, #1)"
"Elizabeth  Smart, Chris Stewart",3.77,3315.0,,False,17287028,,,eng,0,2013.0,,1048.0,1889.0,6465.0,8899.0,7545.0,23294,My Story
"Michael Buckley, Peter Ferguson",4.01,3316.0,,False,176327,,,en-US,0,2005.0,,896.0,2005.0,8726.0,13385.0,15742.0,38655,"The Fairy-Tale Detectives (The Sisters Grimm, #1)"
"Terry Pratchett, Stephen Briggs",4.29,3317.0,,False,149847,,,eng,0,1996.0,,92.0,409.0,3952.0,10355.0,13185.0,27706,Mort: The Play
Caragh M. O'Brien,3.89,3318.0,,False,6909544,,,en-US,0,2010.0,,1008.0,2554.0,9200.0,15157.0,12902.0,37656,"Birthmarked (Birthmarked, #1)"
"Derek Landy, Tom Percival",4.21,3319.0,,False,284440,,,eng,0,2007.0,,561.0,1362.0,5927.0,12525.0,18507.0,32785,"Skulduggery Pleasant (Skulduggery Pleasant, #1)"
Andy Warhol,3.77,3320.0,,False,31818,,,,0,1975.0,,1578.0,1983.0,5830.0,7217.0,8684.0,24879,The Philosophy of Andy Warhol (From A to B and Back Again)
Vladimir Nabokov,4.19,3321.0,,False,7805,,,eng,0,1962.0,,610.0,1328.0,4507.0,9431.0,14943.0,26377,Pale Fire
Tracy Chevalier,3.67,3322.0,,False,89788,,,eng,0,2003.0,,824.0,2933.0,10941.0,12748.0,7697.0,32490,The Lady and the Unicorn
"Charles Dickens, Michael Slater",4.13,3323.0,,False,5338,,,eng,0,1843.0,,402.0,1203.0,6014.0,10711.0,13672.0,28675,A Christmas Carol and Other Christmas Writings
B.J. Novak,3.66,3324.0,,False,18007533,,,eng,0,2014.0,,1263.0,2984.0,8478.0,11175.0,7433.0,28922,One More Thing: Stories and Other Stories
"Terry Pratchett, Stephen Briggs",4.39,3325.0,,False,7557548,,,eng,0,1997.0,,79.0,257.0,3214.0,9999.0,14987.0,28503,Men at Arms: The Play
Rachel Caine,4.21,3326.0,,False,5212771,,,eng,0,2009.0,,452.0,1381.0,7418.0,13655.0,20664.0,41536,"Carpe Corpus (The Morganville Vampires, #6)"
Nathan Filer,3.79,3327.0,,False,16120760,,,eng,0,2013.0,,637.0,2363.0,8743.0,13049.0,8296.0,21798,The Shock of the Fall
Madeleine Roux,3.64,3328.0,,False,13597728,,,eng,0,2013.0,,1417.0,3844.0,9236.0,9741.0,9110.0,29687,"Asylum (Asylum, #1)"
Margaret Atwood,3.37,3329.0,,False,24388326,,,eng,0,2015.0,,1212.0,4338.0,12047.0,10766.0,3913.0,26841,The Heart Goes Last
Kim Harrison,4.28,3330.0,,False,30260,,,eng,0,2006.0,,193.0,900.0,6612.0,16441.0,22126.0,43181,"A Fistful of Charms (The Hollows, #4)"
John Piper,4.19,3331.0,,False,213367,,,,0,1986.0,,723.0,1036.0,3585.0,7808.0,12810.0,25099,Desiring God: Meditations of a Christian Hedonist
Holly Black,3.86,3332.0,,False,12813630,,,eng,0,2013.0,,1253.0,2891.0,9233.0,14556.0,13043.0,37682,The Coldest Girl in Coldtown
